date,week,medical,name,time
2018-05-01,火曜日,指定なし,広瀬病院,08:30～翌08:30
2018-05-02,水曜日,指定なし,木原病院,08:30～翌08:30
2018-05-03,祝日,指定なし,済生会今治病院,08:30～翌08:30
2018-05-03,祝日,指定なし,喜多嶋診療所,09:00～17:00
2018-05-04,祝日,指定なし,県立今治病院,08:30～翌08:30
2018-05-04,祝日,指定なし,有津むらかみクリニック,09:00～17:00
2018-05-05,祝日,指定なし,今治第一病院,08:30～17:30
2018-05-05,祝日,指定なし,松浦医院,09:00～17:00
2018-05-05,祝日,指定なし,医師会市民病院,17:30～翌08:30
2018-05-05,祝日,小児科,みぶ小児科,09:00～17:00
2018-05-06,日曜日,指定なし,医師会市民病院,08:30～翌08:30
2018-05-06,日曜日,指定なし,大三島中央病院,09:00～17:00
2018-05-06,日曜日,小児科,まつうらバンビクリニック,09:00～17:00
2018-05-07,月曜日,指定なし,瀬戸内海病院,08:30～翌08:30
2018-05-08,火曜日,指定なし,今治第一病院,08:30～翌08:30
2018-05-09,水曜日,指定なし,済生会今治病院,08:30～翌08:30
2018-05-10,木曜日,指定なし,白石病院,08:30～翌08:30
2018-05-11,金曜日,指定なし,木原病院,08:30～翌08:30
2018-05-12,土曜日,指定なし,白石病院,08:30～17:30
2018-05-12,土曜日,指定なし,医師会市民病院,17:30～翌08:30
2018-05-13,日曜日,指定なし,医師会市民病院,08:30～翌08:30
2018-05-13,日曜日,指定なし,斎藤クリニック,09:00～17:00
2018-05-13,日曜日,小児科,あおい小児科,09:00～17:00
2018-05-13,日曜日,内科,医師会市民病院,09:00～17:30
2018-05-14,月曜日,指定なし,瀬戸内海病院,08:30～翌08:30
2018-05-15,火曜日,指定なし,県立今治病院,08:30～翌08:30
2018-05-16,水曜日,指定なし,今治第一病院,08:30～翌08:30
2018-05-17,木曜日,指定なし,白石病院,08:30～翌08:30
2018-05-18,金曜日,指定なし,木原病院,08:30～翌08:30
2018-05-19,土曜日,指定なし,医師会市民病院,08:30～翌08:30
2018-05-20,日曜日,指定なし,瀬戸内海病院,08:30～翌08:30
2018-05-20,日曜日,指定なし,片山医院,09:00～17:00
2018-05-20,日曜日,小児科,瀬戸内海病院,09:00～17:00
2018-05-21,月曜日,指定なし,済生会今治病院,08:30～翌08:30
2018-05-22,火曜日,指定なし,今治第一病院,08:30～翌08:30
2018-05-23,水曜日,外科系,吉野病院,17:15～22:30
2018-05-23,水曜日,指定なし,県立今治病院,08:30～17:15 / 22:30～翌08:30
2018-05-23,水曜日,内科系,吉野病院,17:15～22:30
2018-05-24,木曜日,指定なし,白石病院,08:30～翌08:30
2018-05-25,金曜日,指定なし,木原病院,08:30～翌08:30
2018-05-26,土曜日,指定なし,瀬戸内海病院,08:30～17:30
2018-05-26,土曜日,指定なし,医師会市民病院,17:30～翌08:30
2018-05-27,日曜日,指定なし,医師会市民病院,08:30～翌08:30
2018-05-27,日曜日,指定なし,はかた外科胃腸科,09:00～17:00
2018-05-27,日曜日,小児科,武田医院,09:00～17:00
2018-05-27,日曜日,内科,医師会市民病院,09:00～17:30
2018-05-28,月曜日,指定なし,広瀬病院,08:30～翌08:30
2018-05-29,火曜日,指定なし,済生会今治病院,08:30～翌08:30
2018-05-30,水曜日,指定なし,県立今治病院,08:30～翌08:30
2018-05-31,木曜日,指定なし,今治第一病院,08:30～翌08:30
