date,week,medical,name,time
2023-08-01,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2023-08-02,水曜日,指定なし,木原病院,08:30〜翌08:30
2023-08-03,木曜日,指定なし,白石病院,08:30〜翌08:30
2023-08-04,金曜日,指定なし,県立今治病院,08:30〜翌08:30
2023-08-05,土曜日,指定なし,木原病院,08:30〜17:30
2023-08-05,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2023-08-06,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2023-08-06,日曜日,指定なし,しのざき整形外科,09:00〜17:00
2023-08-06,日曜日,小児科,県立今治病院,09:00〜17:00
2023-08-07,月曜日,指定なし,広瀬病院,08:30〜翌08:30
2023-08-08,火曜日,指定なし,今治第一病院,08:30〜翌08:30
2023-08-09,水曜日,指定なし,済生会今治病院,08:30〜翌08:30
2023-08-10,木曜日,指定なし,白石病院,08:30〜翌08:30
2023-08-11,祝日,指定なし,瀬戸内海病院,08:30〜翌08:30
2023-08-11,祝日,指定なし,喜多嶋診療所,09:00〜17:00
2023-08-11,祝日,小児科,あおい小児科,09:00〜17:00
2023-08-12,土曜日,指定なし,木原病院,08:30〜17:30
2023-08-12,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2023-08-13,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2023-08-13,日曜日,指定なし,有津むらかみクリニック,09:00〜17:00
2023-08-13,日曜日,小児科,医師会市民病院,09:00〜17:00
2023-08-13,日曜日,内科,医師会市民病院,09:00〜17:30
2023-08-14,月曜日,指定なし,広瀬病院,08:30〜翌08:30
2023-08-15,火曜日,指定なし,県立今治病院,08:30〜翌08:30
2023-08-16,水曜日,指定なし,今治第一病院,08:30〜翌08:30
2023-08-17,木曜日,指定なし,済生会今治病院,08:30〜翌08:30
2023-08-18,金曜日,指定なし,木原病院,08:30〜翌08:30
2023-08-19,土曜日,指定なし,医師会市民病院,08:30〜翌08:30
2023-08-20,日曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2023-08-20,日曜日,指定なし,松浦医院,09:00〜17:00
2023-08-20,日曜日,小児科,丹こどもクリニック,09:00〜17:00
2023-08-21,月曜日,指定なし,今治第一病院,08:30〜翌08:30
2023-08-22,火曜日,指定なし,県立今治病院,08:30〜翌08:30
2023-08-23,水曜日,指定なし,木原病院,08:30〜翌08:30
2023-08-24,木曜日,指定なし,白石病院,08:30〜翌08:30
2023-08-25,金曜日,指定なし,今治第一病院,08:30〜翌08:30
2023-08-26,土曜日,指定なし,白石病院,08:30〜17:30
2023-08-26,土曜日,指定なし,医師会市民病院,17:30〜翌08:30
2023-08-27,日曜日,指定なし,医師会市民病院,08:30〜翌08:30
2023-08-27,日曜日,指定なし,大三島中央病院,09:00〜17:00
2023-08-27,日曜日,小児科,医師会市民病院,09:00〜17:00
2023-08-27,日曜日,内科,医師会市民病院,09:00〜17:30
2023-08-28,月曜日,指定なし,瀬戸内海病院,08:30〜翌08:30
2023-08-29,火曜日,指定なし,済生会今治病院,08:30〜翌08:30
2023-08-30,水曜日,指定なし,県立今治病院,08:30〜17:15 / 22:30〜翌08:30
2023-08-30,水曜日,指定なし,今治セントラルクリニック,17:15〜22:30
2023-08-31,木曜日,指定なし,今治第一病院,08:30〜翌08:30
