date,week,kind,medical,name,time
2026-05-01,金曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-05-02,土曜日,1,指定なし,今治第一病院,08:30～17:30
2026-05-02,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-05-03,祝日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-05-03,祝日,7,小児科,まつうらバンビクリニック,"09:00～12:00 / 14:00～17:00"
2026-05-03,祝日,9,指定なし,喜多嶋診療所,09:00～17:00
2026-05-04,祝日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-05-04,祝日,7,小児科,あおい小児科,"09:00～12:00 / 14:00～17:00"
2026-05-04,祝日,9,指定なし,有津むらかみクリニック,09:00～17:00
2026-05-05,祝日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-05-05,祝日,9,指定なし,片山医院,09:00～17:00
2026-05-06,祝日,1,指定なし,県立今治病院,08:30～翌08:30
2026-05-06,祝日,9,指定なし,斎藤クリニック,09:00～17:00
2026-05-07,木曜日,1,指定なし,木原病院,08:30～翌08:30
2026-05-08,金曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-05-09,土曜日,1,指定なし,瀬戸内海病院,08:30～17:30
2026-05-09,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-05-10,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-05-10,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-05-10,日曜日,7,小児科,医師会市民病院,"09:00～12:00 / 14:00～17:00"
2026-05-10,日曜日,9,指定なし,大三島中央病院,09:00～17:00
2026-05-11,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-05-12,火曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-05-13,水曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-05-14,木曜日,1,指定なし,県立今治病院,"08:30～17:15 / 22:30～翌08:30"
2026-05-14,木曜日,1,指定なし,消化器科久保病院,17:15～22:30
2026-05-15,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-05-16,土曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-05-17,日曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-05-17,日曜日,7,小児科,丹こどもクリニック,"09:00～12:00 / 14:00～17:00"
2026-05-17,日曜日,9,指定なし,はかた外科胃腸科,09:00～17:00
2026-05-18,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-05-19,火曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-05-20,水曜日,1,指定なし,木原病院,08:30～翌08:30
2026-05-21,木曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-05-22,金曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-05-23,土曜日,1,指定なし,木原病院,08:30～17:30
2026-05-23,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-05-24,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-05-24,日曜日,9,指定なし,しのざき整形外科,09:00～17:00
2026-05-25,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-05-26,火曜日,1,指定なし,県立今治病院,"08:30～17:15 / 22:30～翌08:30"
2026-05-26,火曜日,1,指定なし,今治セントラルクリニック,17:15～22:30
2026-05-27,水曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-05-28,木曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-05-29,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-05-30,土曜日,1,指定なし,広瀬病院,08:30～17:30
2026-05-30,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-05-31,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-05-31,日曜日,7,小児科,みぶ小児科,"09:00～12:00 / 14:00～17:00"
2026-05-31,日曜日,9,指定なし,喜多嶋診療所,09:00～17:00
