date,week,medical,name,time
2025-09-01,月曜日,指定なし,瀬戸内海病院,08:30～翌08:30
2025-09-02,火曜日,指定なし,県立今治病院,08:30～翌08:30
2025-09-03,水曜日,指定なし,木原病院,08:30～翌08:30
2025-09-04,木曜日,指定なし,今治第一病院,08:30～翌08:30
2025-09-05,金曜日,指定なし,済生会今治病院,08:30～翌08:30
2025-09-06,土曜日,指定なし,放射線第一病院,08:30～17:30
2025-09-06,土曜日,指定なし,医師会市民病院,17:30～翌08:30
2025-09-07,日曜日,指定なし,医師会市民病院,08:30～翌08:30
2025-09-07,日曜日,小児科,県立今治病院,09:00～12:00 / 14:00～17:00
2025-09-07,日曜日,指定なし,片山医院,09:00～17:00
2025-09-08,月曜日,指定なし,広瀬病院,08:30～翌08:30
2025-09-09,火曜日,指定なし,今治第一病院,08:30～翌08:30
2025-09-10,水曜日,指定なし,済生会今治病院,08:30～翌08:30
2025-09-11,木曜日,指定なし,県立今治病院,08:30～翌08:30
2025-09-12,金曜日,指定なし,木原病院,08:30～翌08:30
2025-09-13,土曜日,指定なし,今治第一病院,08:30～17:30
2025-09-13,土曜日,指定なし,医師会市民病院,17:30～翌08:30
2025-09-14,日曜日,指定なし,医師会市民病院,08:30～翌08:30
2025-09-14,日曜日,内科,医師会市民病院,09:00～17:30
2025-09-14,日曜日,小児科,医師会市民病院,09:00～12:00 / 14:00～17:00
2025-09-14,日曜日,指定なし,喜多嶋診療所,09:00～17:00
2025-09-15,祝日,指定なし,瀬戸内海病院,08:30～翌08:30
2025-09-15,祝日,小児科,丹こどもクリニック,09:00～12:00 / 14:00～17:00
2025-09-15,祝日,指定なし,しのざき整形外科,09:00～17:00
2025-09-16,火曜日,指定なし,済生会今治病院,08:30～翌08:30
2025-09-17,水曜日,指定なし,県立今治病院,08:30～17:15 / 22:30～翌08:30
2025-09-17,水曜日,指定なし,今治セントラルクリニック,17:15～22:30
2025-09-18,木曜日,指定なし,今治第一病院,08:30～翌08:30
2025-09-19,金曜日,指定なし,木原病院,08:30～翌08:30
2025-09-20,土曜日,指定なし,医師会市民病院,08:30～翌08:30
2025-09-21,日曜日,指定なし,瀬戸内海病院,08:30～翌08:30
2025-09-21,日曜日,小児科,済生会今治病院,09:00～12:00 / 14:00～17:00
2025-09-21,日曜日,指定なし,はかた外科胃腸科,09:00～17:00
2025-09-22,月曜日,指定なし,広瀬病院,08:30～翌08:30
2025-09-23,祝日,指定なし,今治第一病院,08:30～翌08:30
2025-09-23,祝日,小児科,みぶ小児科,09:00～12:00 / 14:00～17:00
2025-09-23,祝日,指定なし,有津むらかみクリニック,09:00～17:00
2025-09-24,水曜日,指定なし,木原病院,08:30～翌08:30
2025-09-25,木曜日,指定なし,済生会今治病院,08:30～翌08:30
2025-09-26,金曜日,指定なし,県立今治病院,08:30～翌08:30
2025-09-27,土曜日,指定なし,木原病院,08:30～17:30
2025-09-27,土曜日,指定なし,医師会市民病院,17:30～翌08:30
2025-09-28,日曜日,指定なし,医師会市民病院,08:30～翌08:30
2025-09-28,日曜日,内科,医師会市民病院,09:00～17:30
2025-09-28,日曜日,小児科,医師会市民病院,09:00～12:00 / 14:00～17:00
2025-09-28,日曜日,指定なし,大三島中央病院,09:00～17:00
2025-09-29,月曜日,指定なし,瀬戸内海病院,08:30～翌08:30
2025-09-30,火曜日,指定なし,済生会今治病院,08:30～翌08:30
